,DTM1,HOSP_TYPE,HOSP_SHORT,WFB,OCC,BASE,File_Name
158,2019-11-01 10:30:00,METRO,NHS,0.0,43.0,51.0,Amb_Dashboard_2019.11.01_10.55
159,2019-11-01 10:30:00,METRO,LMH,4.0,258.0,194.0,Amb_Dashboard_2019.11.01_10.55
160,2019-11-01 10:30:00,METRO,MH,0.0,35.0,36.0,Amb_Dashboard_2019.11.01_10.55
161,2019-11-01 11:00:00,METRO,WCHP,2.0,88.0,92.0,Amb_Dashboard_2019.11.01_11.25
162,2019-11-01 11:00:00,METRO,LMH,4.0,257.0,194.0,Amb_Dashboard_2019.11.01_11.25
163,2019-11-01 11:00:00,METRO,NHS,0.0,42.0,51.0,Amb_Dashboard_2019.11.01_11.25
164,2019-11-01 11:00:00,METRO,RAH,33.0,530.0,559.0,Amb_Dashboard_2019.11.01_11.25
165,2019-11-01 11:00:00,METRO,MH,0.0,35.0,36.0,Amb_Dashboard_2019.11.01_11.25
166,2019-11-01 11:00:00,METRO,TQEH,10.0,243.0,278.0,Amb_Dashboard_2019.11.01_11.25
167,2019-11-01 11:00:00,METRO,FMC,10.0,370.0,390.0,Amb_Dashboard_2019.11.01_11.25
168,2019-11-01 11:30:00,METRO,MH,0.0,37.0,36.0,Amb_Dashboard_2019.11.01_12.00
169,2019-11-01 11:30:00,METRO,WCHP,3.0,93.0,92.0,Amb_Dashboard_2019.11.01_12.00
170,2019-11-01 11:30:00,METRO,LMH,5.0,251.0,194.0,Amb_Dashboard_2019.11.01_12.00
171,2019-11-01 11:30:00,METRO,TQEH,10.0,240.0,278.0,Amb_Dashboard_2019.11.01_12.00
172,2019-11-01 11:30:00,METRO,RAH,35.0,523.0,559.0,Amb_Dashboard_2019.11.01_12.00
173,2019-11-01 11:30:00,METRO,NHS,0.0,44.0,51.0,Amb_Dashboard_2019.11.01_12.00
174,2019-11-01 11:30:00,METRO,FMC,14.0,370.0,390.0,Amb_Dashboard_2019.11.01_12.00
175,2019-11-01 12:00:00,METRO,WCHP,3.0,96.0,92.0,Amb_Dashboard_2019.11.01_12.25
176,2019-11-01 12:00:00,METRO,RAH,32.0,518.0,559.0,Amb_Dashboard_2019.11.01_12.25
177,2019-11-01 12:00:00,METRO,MH,0.0,35.0,36.0,Amb_Dashboard_2019.11.01_12.25
178,2019-11-01 12:00:00,METRO,FMC,16.0,362.0,390.0,Amb_Dashboard_2019.11.01_12.25
179,2019-11-01 12:00:00,METRO,NHS,0.0,46.0,51.0,Amb_Dashboard_2019.11.01_12.25
180,2019-11-01 12:00:00,METRO,TQEH,11.0,234.0,278.0,Amb_Dashboard_2019.11.01_12.25
181,2019-11-01 12:00:00,METRO,LMH,3.0,248.0,194.0,Amb_Dashboard_2019.11.01_12.25
182,2019-11-01 12:30:00,METRO,NHS,0.0,45.0,51.0,Amb_Dashboard_2019.11.01_12.55
183,2019-11-01 12:30:00,METRO,WCHP,4.0,91.0,92.0,Amb_Dashboard_2019.11.01_12.55
184,2019-11-01 12:30:00,METRO,FMC,15.0,360.0,390.0,Amb_Dashboard_2019.11.01_12.55
185,2019-11-01 12:30:00,METRO,LMH,4.0,242.0,194.0,Amb_Dashboard_2019.11.01_12.55
186,2019-11-01 12:30:00,METRO,RAH,34.0,512.0,559.0,Amb_Dashboard_2019.11.01_12.55
187,2019-11-01 12:30:00,METRO,TQEH,9.0,234.0,278.0,Amb_Dashboard_2019.11.01_12.55
188,2019-11-01 12:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_12.55
189,2019-11-01 13:00:00,METRO,LMH,5.0,236.0,194.0,Amb_Dashboard_2019.11.01_13.25
190,2019-11-01 13:00:00,METRO,RAH,35.0,511.0,559.0,Amb_Dashboard_2019.11.01_13.25
191,2019-11-01 13:00:00,METRO,WCHP,6.0,84.0,92.0,Amb_Dashboard_2019.11.01_13.25
192,2019-11-01 13:00:00,METRO,TQEH,8.0,231.0,278.0,Amb_Dashboard_2019.11.01_13.25
193,2019-11-01 13:00:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_13.25
194,2019-11-01 13:00:00,METRO,FMC,15.0,357.0,390.0,Amb_Dashboard_2019.11.01_13.25
195,2019-11-01 13:00:00,METRO,NHS,0.0,47.0,51.0,Amb_Dashboard_2019.11.01_13.25
196,2019-11-01 13:30:00,METRO,RAH,36.0,513.0,559.0,Amb_Dashboard_2019.11.01_13.55
197,2019-11-01 13:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_13.55
198,2019-11-01 13:30:00,METRO,LMH,7.0,233.0,194.0,Amb_Dashboard_2019.11.01_13.55
199,2019-11-01 13:30:00,METRO,WCHP,7.0,84.0,92.0,Amb_Dashboard_2019.11.01_13.55
200,2019-11-01 13:30:00,METRO,NHS,1.0,48.0,51.0,Amb_Dashboard_2019.11.01_13.55
201,2019-11-01 13:30:00,METRO,FMC,13.0,354.0,390.0,Amb_Dashboard_2019.11.01_13.55
202,2019-11-01 13:30:00,METRO,TQEH,8.0,232.0,278.0,Amb_Dashboard_2019.11.01_13.55
203,2019-11-01 14:00:00,METRO,LMH,7.0,230.0,194.0,Amb_Dashboard_2019.11.01_14.25
204,2019-11-01 14:00:00,METRO,WCHP,5.0,80.0,92.0,Amb_Dashboard_2019.11.01_14.25
